Target_genes	BHLHE40|Average	SRX2424487|293	SRX2424488|293	SRX150519|A549	SRX150509|GM12878	SRX3322985|GM12878	SRX3322986|GM12878	SRX6888831|HeLa	SRX6888832|HeLa	SRX6888833|HeLa	SRX6888834|HeLa	SRX100528|Hep_G2	SRX150645|Hep_G2	SRX2424662|IMR-90	SRX2424663|IMR-90	SRX15783135|Jurkat	SRX15783136|Jurkat	SRX15783137|Jurkat	SRX15783138|Jurkat	SRX19471788|Jurkat	SRX19471789|Jurkat	SRX19471796|Jurkat	SRX19471797|Jurkat	SRX150695|K-562	SRX359985|LoVo	STRING
SMAD3	211.958333	0	0	0	482	926	312	0	0	0	0	0	515	1530	715	0	0	0	0	0	188	175	0	244	0	0
GRSF1	211.958333	0	0	0	481	1028	346	0	0	0	0	0	329	330	0	0	0	0	0	225	431	770	577	570	0	0
GPR146	211.791667	0	0	0	615	1089	318	0	0	0	0	0	482	311	161	0	0	0	0	207	226	322	242	1110	0	0
ERF	211.791667	0	0	216	415	902	620	0	0	0	0	0	343	716	447	0	0	0	0	173	213	255	232	551	0	0
WDTC1	211.708333	0	0	0	168	995	278	0	0	0	0	0	89	0	0	0	0	0	0	592	748	1200	704	307	0	0
DHX8	211.625000	0	0	0	661	630	160	0	0	0	0	0	457	168	134	0	0	0	0	310	566	957	630	406	0	0
TTC16	211.583333	0	0	0	690	2043	1063	172	0	0	0	0	0	353	278	0	0	0	0	0	0	159	148	172	0	0
PTRH1	211.583333	0	0	0	690	2043	1063	172	0	0	0	0	0	353	278	0	0	0	0	0	0	159	148	172	0	0
MUC1	211.583333	0	0	137	426	925	348	0	0	0	0	0	0	396	141	0	0	0	0	319	255	669	524	938	0	0
CCNI	211.500000	0	0	0	177	510	132	0	0	0	0	0	161	214	0	0	0	0	0	677	817	1202	913	273	0	0
CHD1L	211.416667	0	0	0	221	890	299	0	0	0	0	0	312	178	150	0	0	0	0	241	372	632	316	1463	0	0
ST7	211.333333	0	0	0	1299	1954	637	0	0	0	0	0	107	186	83	0	0	0	0	0	0	0	0	806	0	0
AGT	211.125000	0	0	0	128	271	0	0	0	0	0	855	2008	218	0	0	0	0	0	0	0	0	0	1587	0	0
MED20	211.083333	0	0	0	732	1276	585	0	0	0	0	0	396	250	119	0	0	0	0	268	294	388	279	479	0	0
BYSL	211.083333	0	0	0	732	1276	585	0	0	0	0	0	396	250	119	0	0	0	0	268	294	388	279	479	0	0
ARHGAP17	211.083333	0	0	0	1107	1036	423	0	0	0	0	0	953	647	360	0	0	0	0	0	0	0	0	540	0	0
FADD	211.041667	0	0	0	549	1673	777	0	0	0	0	0	117	272	213	0	0	0	0	192	149	320	253	550	0	0
AQP10	211.041667	0	0	0	0	685	99	0	0	0	0	195	543	541	317	0	0	0	0	0	132	305	171	2077	0	0
ATF1	210.958333	0	0	0	569	1198	455	0	0	0	0	0	601	260	0	0	0	0	0	0	218	271	236	1255	0	0
SCAND1	210.916667	0	0	0	518	878	412	0	0	0	0	0	356	171	0	0	0	0	0	169	511	781	477	789	0	0
EFHD2	210.791667	0	0	0	125	635	217	0	0	0	0	0	0	0	0	0	0	0	0	640	1144	1317	838	143	0	0
RPL23	210.708333	0	0	0	524	827	103	0	0	0	0	130	767	332	124	0	0	0	0	214	260	422	356	998	0	0
FBXW7	210.708333	0	0	0	295	424	194	0	0	0	0	0	142	930	193	0	0	0	0	401	537	901	711	329	0	0
C10orf99	210.666667	0	0	0	1614	2133	598	0	0	0	0	0	0	126	0	0	0	0	0	143	148	171	123	0	0	0
ADAMTSL5	210.625000	0	0	0	86	202	0	0	0	0	0	0	944	1197	734	0	0	0	0	214	251	476	386	565	0	0
ZNF593	210.458333	0	0	0	747	1245	688	0	0	0	0	0	373	385	279	0	0	0	0	108	170	205	145	706	0	0
CNKSR1	210.458333	0	0	0	747	1245	688	0	0	0	0	0	373	385	279	0	0	0	0	108	170	205	145	706	0	0
C1orf232	210.458333	0	0	0	747	1245	688	0	0	0	0	0	373	385	279	0	0	0	0	108	170	205	145	706	0	0
ZSWIM7	210.333333	0	0	0	459	1281	410	0	0	0	0	0	340	574	270	0	0	0	0	178	184	415	254	683	0	0
TTC19	210.333333	0	0	0	459	1281	410	0	0	0	0	0	340	574	270	0	0	0	0	178	184	415	254	683	0	0
RNF157	210.333333	0	0	0	738	1162	884	0	0	0	0	0	485	537	167	0	0	0	0	0	0	0	0	1075	0	0
TTLL7	210.250000	1019	444	0	238	254	238	0	0	0	0	0	684	910	541	0	0	0	0	0	0	0	0	718	0	0
RAB24	210.250000	0	0	0	425	1290	391	0	0	0	0	0	207	183	0	0	0	0	0	284	279	772	539	676	0	0
PRELID1	210.250000	0	0	0	425	1290	391	0	0	0	0	0	207	183	0	0	0	0	0	284	279	772	539	676	0	0
MXD3	210.250000	0	0	0	425	1290	391	0	0	0	0	0	207	183	0	0	0	0	0	284	279	772	539	676	0	0
GADD45B	210.208333	0	0	0	703	683	341	0	0	0	0	0	264	654	194	0	0	0	0	306	318	584	354	644	0	0
GET1-SH3BGR	210.166667	0	0	125	421	2125	618	0	0	0	0	0	1209	0	0	0	0	0	0	0	0	118	0	428	0	0
GET1	210.166667	0	0	125	421	2125	618	0	0	0	0	0	1209	0	0	0	0	0	0	0	0	118	0	428	0	0
GNG7	210.125000	0	0	0	1844	1655	585	0	0	0	0	0	0	539	293	0	0	0	0	0	0	0	0	127	0	0
TOR3A	210.083333	0	0	0	820	1671	682	0	0	0	0	0	550	363	0	0	0	0	0	0	0	0	0	956	0	0
LAP3	210.000000	0	0	0	423	1155	352	0	0	0	0	0	253	271	157	0	0	0	0	281	356	704	498	590	0	0
S100A4	209.916667	0	0	0	440	1023	334	0	0	0	0	0	158	429	271	0	0	0	0	271	335	604	425	748	0	0
PMPCA	209.875000	0	0	0	654	1162	408	0	0	0	0	0	318	364	231	0	0	0	0	174	407	379	274	666	0	0
ENTR1	209.875000	0	0	0	654	1162	408	0	0	0	0	0	318	364	231	0	0	0	0	174	407	379	274	666	0	0
DCHS1	209.875000	0	0	0	664	1018	423	0	0	0	0	111	935	680	487	0	0	0	0	0	0	0	0	719	0	0
EXOSC9	209.833333	0	0	0	620	725	180	0	0	0	0	0	131	1734	541	0	0	0	0	0	261	307	280	257	0	0
ABHD3	209.791667	0	0	0	844	2262	465	0	0	0	0	0	0	315	0	0	0	0	0	87	138	324	241	359	0	0
NUMBL	209.708333	0	0	0	736	818	613	0	0	0	0	0	0	658	333	0	0	0	0	142	230	272	180	1051	0	0
FAM20B	209.708333	0	0	0	432	550	174	0	0	0	0	0	843	458	439	0	0	0	0	340	475	492	275	555	0	0
DNAJB2	209.708333	0	0	0	275	843	464	0	0	0	0	0	110	224	171	0	0	0	0	420	525	672	687	642	0	0
HM13	209.458333	0	0	0	538	1404	341	0	0	0	0	0	620	434	152	0	0	0	0	109	202	175	213	839	0	0
ARAP1	209.458333	0	0	0	432	709	217	0	0	0	0	0	231	282	356	0	0	0	0	227	189	504	456	1424	0	0
TNFRSF1B	209.416667	0	0	0	429	738	302	0	0	0	0	0	0	290	309	0	0	0	0	279	341	553	353	1432	0	0
NPL	209.416667	0	0	0	567	1825	860	0	0	0	0	0	386	284	0	0	0	0	0	0	0	0	0	1104	0	0
WDR17	209.375000	0	0	136	826	1571	681	0	0	0	0	0	0	198	0	0	0	0	0	198	192	698	525	0	0	0
CCDC125	209.291667	0	0	0	626	1552	712	0	0	0	0	0	514	205	0	0	0	0	0	91	183	184	209	747	0	0
DDX59	209.250000	0	0	142	197	878	479	0	0	0	0	0	290	677	254	0	0	0	0	340	308	515	291	651	0	0
SNRPB2	209.208333	0	0	0	724	355	160	0	0	0	0	0	410	100	0	0	0	0	0	513	797	996	757	209	0	0
ZNHIT2	209.166667	0	0	0	292	1283	691	0	0	0	0	0	136	530	325	0	0	0	0	156	261	482	249	615	0	0
FAU	209.166667	0	0	0	292	1283	691	0	0	0	0	0	136	530	325	0	0	0	0	156	261	482	249	615	0	0
ACTB	209.041667	0	0	0	354	568	282	0	0	0	0	209	1194	431	166	0	0	0	0	244	262	410	328	569	0	0
STK11	208.916667	0	0	0	199	945	199	0	0	0	0	0	146	513	271	0	0	0	0	202	368	673	395	1103	0	0
ECSCR	208.833333	0	0	0	1471	1344	674	0	0	0	0	0	0	0	0	0	0	0	0	175	325	711	312	0	0	0
FLYWCH2	208.791667	0	0	0	435	1549	411	0	0	0	0	0	169	460	0	0	0	0	0	87	125	193	210	1372	0	0
REXO2	208.708333	0	0	0	602	1251	389	0	0	0	0	0	353	528	151	0	0	0	0	119	164	479	358	615	0	0
LEPROTL1	208.541667	0	0	0	402	674	282	0	0	0	0	136	1110	200	0	0	0	0	0	290	420	525	477	489	0	0
FBXO5	208.500000	0	0	0	527	1494	642	0	0	0	0	0	296	396	113	0	0	0	0	85	202	378	185	686	0	0
TRIM2	208.333333	0	0	0	339	643	136	0	0	0	0	0	0	1892	796	0	0	0	0	112	155	251	171	505	0	0
PPP1R16A	208.333333	0	0	0	798	1906	982	0	0	0	0	0	0	627	272	0	0	0	0	0	0	119	0	296	0	0
PARVB	208.333333	0	0	0	922	2039	878	0	0	0	0	0	0	370	260	0	0	0	0	0	0	0	0	531	0	0
ZNF683	208.291667	0	0	0	228	387	0	0	0	0	0	0	0	0	0	0	0	0	0	726	918	1260	824	656	0	0
KNL1	208.291667	0	0	0	206	237	131	0	0	0	0	0	340	120	0	0	0	0	0	670	882	1170	823	420	0	0
RGPD2	208.250000	0	0	873	672	136	0	0	0	0	0	870	800	467	359	0	0	0	0	109	0	0	0	712	0	0
RGPD1	208.250000	0	0	873	672	136	0	0	0	0	0	870	800	467	359	0	0	0	0	109	0	0	0	712	0	0
PDLIM1	208.208333	0	0	0	1242	1855	1057	0	0	0	0	0	0	147	0	0	0	0	0	0	138	203	118	237	0	0
KLF9	208.000000	0	0	0	509	960	398	0	0	0	0	0	1047	597	254	0	0	0	0	113	108	230	0	776	0	0
GMDS	208.000000	0	0	0	370	1757	420	0	0	0	0	0	279	506	234	0	0	0	0	144	0	417	143	722	0	0
SMYD3	207.958333	0	0	0	945	1707	934	0	0	0	0	0	100	157	119	0	0	0	0	171	160	261	183	254	0	0
HAGH	207.750000	0	0	0	389	893	372	0	0	0	0	175	1063	399	0	0	0	0	0	125	133	330	197	910	0	0
FAHD1	207.750000	0	0	0	389	893	372	0	0	0	0	175	1063	399	0	0	0	0	0	125	133	330	197	910	0	0
UBE2V1	207.708333	0	0	0	234	545	184	0	0	0	0	224	1677	140	260	0	0	0	0	228	180	528	372	413	0	0
FADS2	207.666667	0	0	0	132	432	169	0	0	0	0	0	148	0	0	0	0	0	0	525	990	1193	1038	357	0	0
TAF8	207.583333	0	0	0	620	1042	459	0	0	0	0	0	316	234	142	0	0	0	0	266	381	587	387	548	0	0
PEDS1-UBE2V1	207.583333	0	0	0	244	1010	307	0	0	0	0	0	216	1299	490	0	0	0	0	149	150	585	262	270	0	0
PEDS1	207.583333	0	0	0	244	1010	307	0	0	0	0	0	216	1299	490	0	0	0	0	149	150	585	262	270	0	0
IPPK	207.583333	0	0	0	217	629	164	0	0	0	0	0	108	612	577	0	0	0	0	495	518	875	616	171	0	0
KEAP1	207.500000	0	0	0	581	1633	597	0	0	0	0	0	194	0	0	0	0	0	0	198	306	477	310	684	0	0
TMEM127	207.458333	0	0	0	229	846	202	0	0	0	0	0	635	134	0	0	0	0	0	172	355	827	706	873	0	0
CIAO1	207.458333	0	0	0	229	846	202	0	0	0	0	0	635	134	0	0	0	0	0	172	355	827	706	873	0	0
CDH23	207.416667	0	0	0	171	77	0	0	0	0	0	0	0	0	0	0	0	0	0	935	1058	1401	1173	163	0	0
ZNF451	207.333333	0	0	0	88	202	0	0	0	0	0	0	104	0	0	0	0	0	0	873	1049	1422	1057	181	0	0
SERTAD3	207.333333	0	0	0	348	1445	194	0	0	0	0	0	367	571	182	0	0	0	0	187	281	584	511	306	0	0
TM7SF2	207.250000	0	0	0	292	1283	691	0	0	0	0	0	136	530	325	0	0	0	0	110	261	482	249	615	0	0
FSCN1	207.208333	0	0	145	590	1967	402	0	0	0	0	0	0	937	331	0	0	0	0	0	0	0	0	601	0	0
NPM2	207.166667	0	0	0	685	1044	503	0	0	0	0	0	786	162	96	0	0	0	0	125	140	358	253	820	0	0
TMEM184C	207.125000	0	0	0	755	1269	362	0	0	0	0	0	368	319	107	0	0	0	0	140	114	399	350	788	0	0
DPF1	207.125000	0	0	0	637	1337	445	0	0	0	0	0	125	0	115	0	0	0	0	311	400	701	501	399	0	0
CIC	207.083333	0	0	0	821	1234	432	0	0	0	0	0	190	197	185	0	0	0	0	266	290	535	428	392	0	0
NLRP3	207.041667	0	0	0	1737	1868	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	153	202	0	0	0	0
TRAF7	207.000000	0	0	0	585	1293	287	0	0	0	0	0	220	490	0	0	0	0	0	305	186	389	229	984	0	0
RAB26	207.000000	0	0	0	585	1293	287	0	0	0	0	0	220	490	0	0	0	0	0	305	186	389	229	984	0	0
TRAPPC11	206.958333	0	0	0	445	1842	848	0	0	0	0	0	272	248	197	0	0	0	0	121	186	374	209	225	0	0
RWDD4	206.958333	0	0	0	445	1842	848	0	0	0	0	0	272	248	197	0	0	0	0	121	186	374	209	225	0	0
TAF4B	206.916667	0	0	0	652	1743	786	0	0	0	0	0	0	366	113	0	0	0	0	0	97	278	253	678	0	0
TRPC4AP	206.791667	0	0	0	286	585	299	0	0	0	0	0	884	150	0	0	0	0	0	329	434	560	393	1043	0	0
NEDD9	206.750000	0	0	0	1585	1942	754	0	0	0	0	0	193	0	0	0	0	0	0	0	106	230	152	0	0	0
MET	206.708333	0	0	802	98	378	191	0	96	0	0	121	1185	953	713	0	0	0	0	0	0	0	0	424	0	0
MRPL22	206.625000	0	0	0	513	1611	541	0	0	0	0	0	371	219	0	0	0	0	0	115	218	378	163	830	0	0
GEMIN5	206.625000	0	0	0	513	1611	541	0	0	0	0	0	371	219	0	0	0	0	0	115	218	378	163	830	0	0
PTCH1	206.541667	0	0	0	438	1510	874	0	0	0	0	0	492	529	265	0	0	0	0	0	0	0	0	849	0	0
WNT2B	206.458333	0	0	0	517	1341	447	0	0	0	0	0	221	652	533	0	0	0	0	0	0	121	178	945	0	0
VAMP5	206.458333	0	0	0	921	1476	584	0	0	0	0	0	410	191	0	0	0	0	0	0	0	236	254	883	0	0
LOC388282	206.375000	0	0	215	147	345	129	0	0	0	0	0	769	731	282	0	0	0	0	266	458	522	443	646	0	0
APMAP	206.250000	0	0	76	265	720	329	0	0	0	0	0	350	939	834	0	0	0	0	130	184	447	298	378	0	0
KAZN	206.166667	307	0	0	277	1021	410	0	0	0	0	0	77	1107	571	0	0	0	0	0	0	0	0	1178	0	0
FAT2	206.125000	0	0	0	797	2116	864	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	626	0	0
LFNG	206.083333	0	0	0	477	1750	923	0	0	0	0	0	0	232	92	0	0	0	0	201	393	459	288	131	0	0
TM2D2	206.041667	0	0	0	592	661	219	0	0	0	0	0	472	962	484	0	0	0	0	179	191	413	303	469	0	0
ADAM9	206.041667	0	0	0	592	661	219	0	0	0	0	0	472	962	484	0	0	0	0	179	191	413	303	469	0	0
STAT3	206.000000	0	0	0	543	726	216	0	0	0	0	0	482	119	0	0	0	0	0	397	628	888	600	345	0	0
TKFC	205.875000	0	0	0	485	1166	310	0	0	0	0	0	239	517	203	0	0	0	0	217	279	672	533	320	0	0
DDB1	205.875000	0	0	0	485	1166	310	0	0	0	0	0	239	517	203	0	0	0	0	217	279	672	533	320	0	0
NDUFB10	205.833333	0	0	0	616	1187	558	0	0	0	0	0	234	342	90	0	0	0	0	210	232	553	355	563	0	0
FBXO10	205.750000	0	0	0	535	2220	957	0	0	0	0	0	193	646	387	0	0	0	0	0	0	0	0	0	0	0
SLC22A4	205.708333	0	0	0	437	1520	418	0	0	0	0	0	304	316	742	0	0	0	0	75	179	337	254	355	0	0
GUCD1	205.666667	0	0	0	230	377	119	0	0	0	0	314	1607	478	0	0	0	0	0	181	221	466	285	658	0	0
AK2	205.666667	0	0	0	403	1581	500	0	0	0	0	0	357	365	191	0	0	0	0	0	164	364	319	692	0	0
FAM83F	205.583333	0	0	0	160	295	0	0	0	0	0	0	0	441	247	0	0	0	0	296	486	622	567	1820	0	0
PRDM11	205.458333	0	0	0	121	238	174	0	0	0	0	0	152	251	229	0	0	0	0	555	668	955	874	714	0	0
MPDU1	205.458333	0	0	0	168	532	185	0	0	0	0	0	182	143	147	0	0	0	0	664	813	945	684	468	0	0
LOC100996842	205.458333	0	0	0	168	532	185	0	0	0	0	0	182	143	147	0	0	0	0	664	813	945	684	468	0	0
GTF2IRD1	205.416667	0	0	0	0	816	0	0	0	0	0	0	245	131	139	0	0	0	0	564	797	1189	821	228	0	0
PDCL3	205.375000	0	0	0	427	1618	777	0	0	0	0	0	245	136	0	0	0	0	0	151	147	488	289	651	0	0
SFMBT1	205.291667	0	0	0	588	2079	1533	0	0	0	0	0	0	315	125	0	0	0	0	0	0	128	0	159	0	0
MYH7B	205.291667	0	0	0	253	520	285	0	0	0	0	0	843	489	479	0	0	0	0	152	182	408	169	1147	0	0
GSS	205.291667	0	0	0	253	520	285	0	0	0	0	0	843	489	479	0	0	0	0	152	182	408	169	1147	0	0
OGG1	205.000000	0	0	0	190	253	0	0	0	0	0	0	0	0	0	0	0	0	0	648	1025	1436	1241	127	0	0
ARHGEF12	205.000000	140	277	0	317	386	0	0	0	0	0	0	178	0	0	0	0	0	0	592	547	858	630	995	0	0
ST6GALNAC3	204.958333	0	0	0	579	1283	490	0	0	0	0	0	605	406	262	0	0	0	0	0	0	0	0	1294	0	0
P4HA1	204.958333	0	0	0	471	1781	514	0	0	0	0	0	117	296	0	0	0	0	0	152	150	385	215	838	0	0
PTGER2	204.916667	0	0	0	356	562	321	0	0	0	0	0	0	0	0	0	0	0	0	650	903	1206	920	0	0	0
SPATC1L	204.791667	0	0	0	290	792	349	0	0	0	0	0	126	0	0	0	0	0	153	615	619	1002	654	315	0	0
IL32	204.708333	0	0	0	943	793	250	0	0	0	0	0	115	0	0	0	0	0	0	438	587	947	632	208	0	0
VWA8	204.541667	0	0	0	481	1839	570	0	0	0	0	0	321	356	0	0	0	0	0	157	89	372	323	401	0	0
SYT12	204.500000	0	0	0	176	216	0	0	0	0	0	0	0	0	0	0	0	0	0	989	1444	1261	822	0	0	0
PRR5L	204.250000	0	0	0	337	977	379	0	0	0	0	0	382	246	166	0	0	0	0	213	415	517	456	814	0	0
FAM193A	204.250000	0	0	0	420	830	286	0	0	0	0	0	280	447	0	0	0	0	0	198	313	952	697	479	0	0
TMEM131	204.166667	0	0	0	285	861	237	0	0	0	0	0	684	545	165	0	0	0	0	188	258	473	382	822	0	0
MAGI2	204.166667	0	0	243	0	0	0	0	0	0	0	537	1955	1239	926	0	0	0	0	0	0	0	0	0	0	0
DCAF11	204.166667	0	0	0	259	1406	506	0	0	0	0	0	295	262	176	0	0	0	0	260	300	523	600	313	0	0
ZC3H15	204.000000	0	0	142	585	1010	281	0	0	0	0	0	535	712	332	0	0	0	0	144	136	280	211	528	0	0
DUSP2	203.958333	0	0	0	691	1003	650	0	0	0	0	0	192	344	120	0	0	0	0	357	444	413	321	360	0	0
NINJ1	203.875000	0	0	0	438	733	237	0	0	0	0	0	0	247	125	0	0	0	0	362	657	1109	690	295	0	0
GSR	203.833333	0	0	0	214	1171	565	0	0	0	0	0	0	545	283	0	0	0	0	389	402	647	326	350	0	0
SERBP1	203.708333	0	0	0	667	1033	293	0	0	0	0	0	367	262	135	0	0	0	0	284	411	585	371	481	0	0
REX1BD	203.708333	0	0	0	372	1210	428	0	0	0	0	0	196	109	145	0	0	0	0	159	186	248	154	1682	0	0
FAM187A	203.583333	0	0	0	276	580	214	0	0	0	0	0	141	105	174	0	0	0	0	367	528	814	568	1119	0	0
LCK	203.458333	0	0	0	334	1060	365	0	0	0	0	0	425	157	0	0	0	0	0	328	631	723	493	367	0	0
TICAM1	203.375000	0	0	146	849	1144	705	0	0	0	0	0	148	531	419	0	0	0	0	0	0	135	162	642	0	0
MME	203.291667	0	0	0	0	0	0	0	0	0	0	0	0	1934	1436	0	0	0	0	0	0	0	0	1509	0	0
DIS3L	203.291667	0	0	238	630	788	321	0	0	0	0	0	505	1066	359	0	0	0	0	0	0	141	0	831	0	0
RREB1	203.250000	0	0	0	621	964	441	0	0	0	0	0	312	585	203	0	0	0	0	138	183	275	197	959	0	0
USP2	203.208333	0	0	166	238	709	237	0	0	0	0	0	524	756	347	0	0	0	0	201	284	240	153	1022	0	0
DLL1	203.166667	0	0	0	941	2172	753	0	0	0	0	0	184	144	0	0	0	0	0	0	0	140	0	542	0	0
ZNF789	203.083333	0	0	0	416	1376	484	0	0	0	0	0	509	137	131	0	0	0	0	134	215	271	222	979	0	0
PER3	203.083333	0	0	0	365	1389	556	0	0	0	0	0	508	467	459	0	0	0	0	0	0	0	0	1130	0	0
ATP5MF-PTCD1	203.083333	0	0	0	416	1376	484	0	0	0	0	0	509	137	131	0	0	0	0	134	215	271	222	979	0	0
ATP5MF	203.083333	0	0	0	416	1376	484	0	0	0	0	0	509	137	131	0	0	0	0	134	215	271	222	979	0	0
IRS1	203.041667	0	0	0	943	1069	518	0	0	0	0	148	559	354	197	0	0	0	0	76	205	390	205	209	0	0
PRR36	203.000000	0	0	0	464	1705	526	156	0	0	0	0	259	213	168	0	0	0	0	133	157	404	225	462	0	0
COX7A2L	203.000000	0	0	0	566	1505	171	0	0	0	0	0	283	561	189	0	0	0	0	85	206	345	238	723	0	0
SELENOI	202.875000	0	0	0	233	905	349	0	0	0	0	0	192	243	76	0	0	0	0	376	472	875	459	689	0	0
ADGRF3	202.875000	0	0	0	233	905	349	0	0	0	0	0	192	243	76	0	0	0	0	376	472	875	459	689	0	0
FTL	202.833333	0	0	0	473	1244	270	0	0	0	0	277	465	638	0	0	0	0	0	136	173	232	186	774	0	0
ASTL	202.833333	0	0	0	691	1003	650	0	0	0	0	0	192	344	120	0	0	0	0	357	444	413	321	333	0	0
TBRG4	202.791667	0	0	0	364	979	288	0	0	0	0	0	239	314	270	0	0	0	0	284	314	729	532	554	0	0
OSGIN2	202.791667	0	0	0	668	1965	615	0	0	0	0	0	111	221	0	0	0	0	0	0	79	437	211	560	0	0
TPP1	202.708333	0	0	0	758	879	271	0	0	0	0	0	661	230	342	0	0	0	0	194	146	318	191	875	0	0
INTS4	202.708333	0	0	0	516	760	117	0	0	0	0	0	122	287	0	0	0	0	0	391	716	1009	473	474	0	0
NPAS1	202.583333	0	0	0	282	382	0	0	0	0	0	0	0	109	103	0	0	0	0	653	857	1307	976	193	0	0
EEA1	202.541667	0	0	0	772	1092	806	0	0	0	0	0	365	298	133	0	0	0	0	0	176	313	166	740	0	0
NFAM1	202.500000	0	0	0	1043	1683	933	0	0	0	0	0	228	71	0	0	0	0	0	0	154	265	160	323	0	0
GATA3	202.375000	0	0	0	784	824	380	0	0	0	0	159	301	309	0	0	0	0	0	261	481	860	498	0	0	0
PSMD3	202.333333	0	0	0	656	505	200	0	0	0	0	0	427	138	299	0	0	0	0	394	515	817	494	411	0	0
TJP2	202.291667	0	0	0	436	1832	1159	0	0	0	0	0	251	324	304	0	0	0	0	0	0	135	0	414	0	0
BANP	202.291667	0	0	163	835	975	256	0	0	0	0	0	196	582	339	0	0	0	0	258	236	348	333	334	0	0
RALA	202.166667	0	0	0	1469	1698	662	0	0	0	0	0	0	157	0	0	0	0	0	0	129	170	94	473	0	0
PPIP5K2	202.166667	0	0	0	459	655	354	0	0	0	0	0	417	217	145	0	0	0	0	334	452	827	579	413	0	0
GIN1	202.166667	0	0	0	459	655	354	0	0	0	0	0	417	217	145	0	0	0	0	334	452	827	579	413	0	0
RAB30	202.083333	0	0	0	707	1888	1113	0	0	0	0	0	106	124	0	0	0	0	0	76	220	270	116	230	0	0
LSM5	202.041667	0	0	0	473	831	399	0	0	0	0	0	251	379	161	0	0	0	0	322	300	588	453	692	0	0
AVL9	202.041667	0	0	0	473	831	399	0	0	0	0	0	251	379	161	0	0	0	0	322	300	588	453	692	0	0
FHOD3	202.000000	0	0	0	678	1829	1200	0	0	0	0	0	135	469	228	0	0	0	0	0	0	0	0	309	0	0
COMMD9	201.916667	0	0	0	337	977	379	0	0	0	0	0	382	190	166	0	0	0	0	213	415	517	456	814	0	0
SLC39A13	201.875000	0	0	0	336	1150	376	0	0	0	0	0	279	552	275	0	0	0	0	189	266	604	476	342	0	0
NKG7	201.750000	0	0	0	164	557	447	0	0	0	0	143	1193	153	0	0	0	0	0	287	345	601	443	509	0	0
CLDND2	201.750000	0	0	0	164	557	447	0	0	0	0	143	1193	153	0	0	0	0	0	287	345	601	443	509	0	0
JARID2	201.708333	0	0	0	516	922	273	0	0	0	0	0	577	529	261	0	0	0	0	87	275	413	222	766	0	0
AMN	201.708333	0	0	0	668	1895	1000	0	0	0	0	0	266	192	0	0	0	0	0	0	0	0	0	820	0	0
FCRLB	201.625000	0	0	0	695	1102	497	0	0	0	0	0	154	335	242	0	0	0	0	145	146	255	205	1063	0	0
NHLRC1	201.583333	0	0	121	278	556	331	0	0	0	0	0	850	607	205	0	0	0	0	352	476	501	561	0	0	0
ATP1B3	201.583333	0	0	0	432	1820	930	0	129	0	0	0	396	249	0	0	0	0	0	0	127	150	184	421	0	0
SAFB2	201.458333	0	0	0	630	740	282	0	0	0	0	0	0	172	0	0	0	0	0	143	191	532	511	1634	0	0
SAFB	201.458333	0	0	0	630	740	282	0	0	0	0	0	0	172	0	0	0	0	0	143	191	532	511	1634	0	0
TM7SF3	201.333333	0	0	0	441	1513	441	0	0	0	0	0	225	187	0	0	0	0	0	193	244	622	340	626	0	0
MED21	201.333333	0	0	0	441	1513	441	0	0	0	0	0	225	187	0	0	0	0	0	193	244	622	340	626	0	0
USP48	201.250000	0	0	0	518	689	168	0	0	0	0	0	221	1163	159	0	0	0	0	147	272	238	166	1089	0	0
MAP2K1	201.208333	0	0	0	905	1743	775	0	0	0	0	0	173	0	0	0	0	0	0	82	184	385	291	291	0	0
AGO3	201.208333	0	0	0	320	1843	645	0	0	0	0	0	174	0	0	0	0	0	0	128	224	538	385	572	0	0
ZNF783	201.166667	0	0	0	795	1561	502	0	0	0	0	0	423	239	159	0	0	0	0	122	214	203	162	448	0	0
TACR2	201.125000	0	0	0	307	504	277	0	0	0	0	361	1584	492	179	0	0	0	0	0	209	251	232	431	0	0
CORO1C	201.125000	0	0	0	399	1104	305	0	0	0	0	0	124	431	298	0	0	0	0	173	409	734	386	464	0	0
PLEKHG5	201.083333	237	0	0	662	966	541	0	0	0	0	0	843	793	489	0	0	0	0	0	0	0	0	295	0	0
CYRIB	201.083333	0	0	141	493	829	285	0	0	0	0	0	375	203	0	0	0	0	0	189	256	486	254	1315	0	0
POP7	201.000000	0	0	0	558	1137	420	0	0	0	0	0	307	375	0	0	0	0	0	164	312	431	358	762	0	0
EEF1AKMT3	200.958333	0	0	0	488	1347	556	0	0	0	0	0	249	0	0	0	0	0	0	289	445	813	441	195	0	0
MAOA	200.916667	1068	414	121	0	0	0	0	0	0	0	0	947	674	449	0	0	0	0	0	114	224	156	655	0	0
PARD6B	200.833333	0	0	0	425	1306	281	0	0	0	0	0	449	184	154	0	0	0	0	269	342	550	337	523	0	0
DNAJC10	200.708333	0	0	0	580	1539	451	0	0	0	0	0	362	142	0	0	0	0	0	148	179	272	276	868	0	0
PTGES3	200.583333	0	0	0	613	1328	481	0	0	0	0	0	228	359	165	0	0	0	0	98	166	280	119	977	0	0
KANSL3	200.500000	0	0	0	543	856	479	0	0	0	0	0	563	188	163	0	0	0	0	266	462	524	361	407	0	0
